# ts_ms	idx	fc_type	fc_subtype	len	alive	poc
1780101446983	0	0	0x08	56	1	-
1780101446983	1	0	0x08	56	1	-
1780101446983	2	0	0x08	56	1	-
1780101446983	3	0	0x08	58	1	-
1780101446983	4	0	0x08	54	1	-
1780101446983	5	0	0x08	56	1	-
1780101446983	6	0	0x08	66	1	-
1780101446983	7	0	0x04	30	1	-
1780101446984	8	0	0x04	30	1	-
1780101446984	9	0	0x04	30	1	-
1780101446984	10	0	0x04	32	1	-
1780101446984	11	0	0x04	28	1	-
1780101446984	12	0	0x04	30	1	-
1780101446984	13	0	0x04	40	1	-
1780101446984	14	0	0x0b	32	1	-
1780101446984	15	0	0x0b	32	1	-
1780101446984	16	0	0x0b	32	1	-
1780101446984	17	0	0x0b	34	1	-
1780101446984	18	0	0x0b	30	1	-
1780101446984	19	0	0x0b	32	1	-
1780101446984	20	0	0x0b	42	1	-
1780101446984	21	0	0x00	37	1	-
1780101446984	22	0	0x00	37	1	-
1780101446984	23	0	0x00	37	1	-
1780101446984	24	0	0x00	39	1	-
1780101446984	25	0	0x00	35	1	-
1780101446984	26	0	0x00	37	1	-
1780101446984	27	0	0x00	47	1	-
1780101446995	0	0	0x08	56	1	-
1780101446995	1	0	0x08	56	1	-
1780101446995	2	0	0x08	56	1	-
1780101446995	3	0	0x08	58	1	-
1780101446995	4	0	0x08	54	1	-
1780101446995	5	0	0x08	56	1	-
1780101446995	6	0	0x08	66	1	-
1780101446995	7	0	0x04	30	1	-
1780101446995	8	0	0x04	30	1	-
1780101446995	9	0	0x04	30	1	-
1780101446995	10	0	0x04	32	1	-
1780101446995	11	0	0x04	28	1	-
1780101446995	12	0	0x04	30	1	-
1780101446995	13	0	0x04	40	1	-
1780101446996	14	0	0x0b	32	1	-
1780101446996	15	0	0x0b	32	1	-
1780101446996	16	0	0x0b	32	1	-
1780101446996	17	0	0x0b	34	1	-
1780101446996	18	0	0x0b	30	1	-
1780101446996	19	0	0x0b	32	1	-
1780101446996	20	0	0x0b	42	1	-
1780101446996	21	0	0x00	37	1	-
1780101446996	22	0	0x00	37	1	-
1780101446996	23	0	0x00	37	1	-
1780101446996	24	0	0x00	39	1	-
1780101446996	25	0	0x00	35	1	-
1780101446996	26	0	0x00	37	1	-
1780101446996	27	0	0x00	47	1	-
1780101447006	0	0	0x08	56	1	-
1780101447006	1	0	0x08	56	1	-
1780101447006	2	0	0x08	56	1	-
1780101447007	3	0	0x08	58	1	-
1780101447007	4	0	0x08	54	1	-
1780101447007	5	0	0x08	56	1	-
1780101447007	6	0	0x08	66	1	-
1780101447007	7	0	0x04	30	1	-
1780101447007	8	0	0x04	30	1	-
1780101447007	9	0	0x04	30	1	-
1780101447007	10	0	0x04	32	1	-
1780101447007	11	0	0x04	28	1	-
1780101447007	12	0	0x04	30	1	-
1780101447007	13	0	0x04	40	1	-
1780101447007	14	0	0x0b	32	1	-
1780101447007	15	0	0x0b	32	1	-
1780101447007	16	0	0x0b	32	1	-
1780101447007	17	0	0x0b	34	1	-
1780101447007	18	0	0x0b	30	1	-
1780101447007	19	0	0x0b	32	1	-
1780101447007	20	0	0x0b	42	1	-
1780101447008	21	0	0x00	37	1	-
1780101447008	22	0	0x00	37	1	-
1780101447008	23	0	0x00	37	1	-
1780101447008	24	0	0x00	39	1	-
1780101447008	25	0	0x00	35	1	-
1780101447008	26	0	0x00	37	1	-
1780101447008	27	0	0x00	47	1	-
1780101447018	0	0	0x08	56	1	-
1780101447018	1	0	0x08	56	1	-
1780101447018	2	0	0x08	56	1	-
1780101447018	3	0	0x08	58	1	-
1780101447018	4	0	0x08	54	1	-
1780101447018	5	0	0x08	56	1	-
1780101447018	6	0	0x08	66	1	-
1780101447018	7	0	0x04	30	1	-
1780101447018	8	0	0x04	30	1	-
1780101447019	9	0	0x04	30	1	-
1780101447019	10	0	0x04	32	1	-
1780101447019	11	0	0x04	28	1	-
1780101447019	12	0	0x04	30	1	-
1780101447019	13	0	0x04	40	1	-
1780101447019	14	0	0x0b	32	1	-
1780101447019	15	0	0x0b	32	1	-
1780101447019	16	0	0x0b	32	1	-
1780101447019	17	0	0x0b	34	1	-
1780101447019	18	0	0x0b	30	1	-
1780101447019	19	0	0x0b	32	1	-
1780101447019	20	0	0x0b	42	1	-
1780101447019	21	0	0x00	37	1	-
1780101447019	22	0	0x00	37	1	-
1780101447019	23	0	0x00	37	1	-
1780101447019	24	0	0x00	39	1	-
1780101447019	25	0	0x00	35	1	-
1780101447019	26	0	0x00	37	1	-
1780101447019	27	0	0x00	47	1	-
1780101447030	0	0	0x08	56	1	-
1780101447030	1	0	0x08	56	1	-
1780101447030	2	0	0x08	56	1	-
1780101447030	3	0	0x08	58	1	-
1780101447030	4	0	0x08	54	1	-
1780101447030	5	0	0x08	56	1	-
1780101447030	6	0	0x08	66	1	-
1780101447030	7	0	0x04	30	1	-
1780101447030	8	0	0x04	30	1	-
1780101447030	9	0	0x04	30	1	-
1780101447030	10	0	0x04	32	1	-
1780101447030	11	0	0x04	28	1	-
1780101447030	12	0	0x04	30	1	-
1780101447030	13	0	0x04	40	1	-
1780101447030	14	0	0x0b	32	1	-
1780101447031	15	0	0x0b	32	1	-
1780101447031	16	0	0x0b	32	1	-
1780101447031	17	0	0x0b	34	1	-
1780101447031	18	0	0x0b	30	1	-
1780101447031	19	0	0x0b	32	1	-
1780101447031	20	0	0x0b	42	1	-
1780101447031	21	0	0x00	37	1	-
1780101447031	22	0	0x00	37	1	-
1780101447031	23	0	0x00	37	1	-
1780101447031	24	0	0x00	39	1	-
1780101447031	25	0	0x00	35	1	-
1780101447031	26	0	0x00	37	1	-
1780101447031	27	0	0x00	47	1	-
1780101447041	0	0	0x08	56	1	-
1780101447041	1	0	0x08	56	1	-
1780101447041	2	0	0x08	56	1	-
1780101447041	3	0	0x08	58	1	-
1780101447042	4	0	0x08	54	1	-
1780101447042	5	0	0x08	56	1	-
1780101447042	6	0	0x08	66	1	-
1780101447042	7	0	0x04	30	1	-
1780101447042	8	0	0x04	30	1	-
1780101447042	9	0	0x04	30	1	-
1780101447042	10	0	0x04	32	1	-
1780101447042	11	0	0x04	28	1	-
1780101447042	12	0	0x04	30	1	-
1780101447042	13	0	0x04	40	1	-
1780101447042	14	0	0x0b	32	1	-
1780101447042	15	0	0x0b	32	1	-
1780101447042	16	0	0x0b	32	1	-
1780101447042	17	0	0x0b	34	1	-
1780101447042	18	0	0x0b	30	1	-
1780101447042	19	0	0x0b	32	1	-
1780101447042	20	0	0x0b	42	1	-
1780101447042	21	0	0x00	37	1	-
1780101447043	22	0	0x00	37	1	-
1780101447043	23	0	0x00	37	1	-
1780101447043	24	0	0x00	39	1	-
1780101447043	25	0	0x00	35	1	-
1780101447043	26	0	0x00	37	1	-
1780101447043	27	0	0x00	47	1	-
1780101447053	0	0	0x08	56	1	-
1780101447053	1	0	0x08	56	1	-
1780101447053	2	0	0x08	56	1	-
1780101447053	3	0	0x08	58	1	-
1780101447053	4	0	0x08	54	1	-
1780101447053	5	0	0x08	56	1	-
1780101447053	6	0	0x08	66	1	-
1780101447053	7	0	0x04	30	1	-
1780101447053	8	0	0x04	30	1	-
1780101447053	9	0	0x04	30	1	-
1780101447054	10	0	0x04	32	1	-
1780101447054	11	0	0x04	28	1	-
1780101447054	12	0	0x04	30	1	-
1780101447054	13	0	0x04	40	1	-
1780101447054	14	0	0x0b	32	1	-
1780101447054	15	0	0x0b	32	1	-
1780101447054	16	0	0x0b	32	1	-
1780101447054	17	0	0x0b	34	1	-
1780101447054	18	0	0x0b	30	1	-
1780101447054	19	0	0x0b	32	1	-
1780101447054	20	0	0x0b	42	1	-
1780101447054	21	0	0x00	37	1	-
1780101447054	22	0	0x00	37	1	-
1780101447054	23	0	0x00	37	1	-
1780101447054	24	0	0x00	39	1	-
1780101447054	25	0	0x00	35	1	-
1780101447054	26	0	0x00	37	1	-
1780101447054	27	0	0x00	47	1	-
1780101447065	0	0	0x08	56	1	-
1780101447065	1	0	0x08	56	1	-
1780101447065	2	0	0x08	56	1	-
1780101447065	3	0	0x08	58	1	-
1780101447065	4	0	0x08	54	1	-
1780101447065	5	0	0x08	56	1	-
1780101447065	6	0	0x08	66	1	-
1780101447065	7	0	0x04	30	1	-
1780101447065	8	0	0x04	30	1	-
1780101447065	9	0	0x04	30	1	-
1780101447065	10	0	0x04	32	1	-
1780101447065	11	0	0x04	28	1	-
1780101447065	12	0	0x04	30	1	-
1780101447065	13	0	0x04	40	1	-
1780101447065	14	0	0x0b	32	1	-
1780101447065	15	0	0x0b	32	1	-
1780101447066	16	0	0x0b	32	1	-
1780101447066	17	0	0x0b	34	1	-
1780101447066	18	0	0x0b	30	1	-
1780101447066	19	0	0x0b	32	1	-
1780101447066	20	0	0x0b	42	1	-
1780101447066	21	0	0x00	37	1	-
1780101447066	22	0	0x00	37	1	-
1780101447066	23	0	0x00	37	1	-
1780101447066	24	0	0x00	39	1	-
1780101447066	25	0	0x00	35	1	-
1780101447066	26	0	0x00	37	1	-
1780101447066	27	0	0x00	47	1	-
1780101447076	0	0	0x08	56	1	-
1780101447076	1	0	0x08	56	1	-
1780101447076	2	0	0x08	56	1	-
1780101447076	3	0	0x08	58	1	-
1780101447077	4	0	0x08	54	1	-
1780101447077	5	0	0x08	56	1	-
1780101447077	6	0	0x08	66	1	-
1780101447077	7	0	0x04	30	1	-
1780101447077	8	0	0x04	30	1	-
1780101447077	9	0	0x04	30	1	-
1780101447077	10	0	0x04	32	1	-
1780101447077	11	0	0x04	28	1	-
1780101447077	12	0	0x04	30	1	-
1780101447077	13	0	0x04	40	1	-
1780101447077	14	0	0x0b	32	1	-
1780101447077	15	0	0x0b	32	1	-
1780101447077	16	0	0x0b	32	1	-
1780101447077	17	0	0x0b	34	1	-
1780101447077	18	0	0x0b	30	1	-
1780101447077	19	0	0x0b	32	1	-
1780101447077	20	0	0x0b	42	1	-
1780101447077	21	0	0x00	37	1	-
1780101447078	22	0	0x00	37	1	-
1780101447078	23	0	0x00	37	1	-
1780101447078	24	0	0x00	39	1	-
1780101447078	25	0	0x00	35	1	-
1780101447078	26	0	0x00	37	1	-
1780101447078	27	0	0x00	47	1	-
1780101447088	0	0	0x08	56	1	-
1780101447088	1	0	0x08	56	1	-
1780101447088	2	0	0x08	56	1	-
1780101447088	3	0	0x08	58	1	-
1780101447088	4	0	0x08	54	1	-
1780101447088	5	0	0x08	56	1	-
1780101447088	6	0	0x08	66	1	-
1780101447088	7	0	0x04	30	1	-
1780101447088	8	0	0x04	30	1	-
1780101447089	9	0	0x04	30	1	-
1780101447089	10	0	0x04	32	1	-
1780101447089	11	0	0x04	28	1	-
1780101447089	12	0	0x04	30	1	-
1780101447089	13	0	0x04	40	1	-
1780101447089	14	0	0x0b	32	1	-
1780101447089	15	0	0x0b	32	1	-
1780101447089	16	0	0x0b	32	1	-
1780101447089	17	0	0x0b	34	1	-
1780101447089	18	0	0x0b	30	1	-
1780101447089	19	0	0x0b	32	1	-
1780101447089	20	0	0x0b	42	1	-
1780101447089	21	0	0x00	37	1	-
1780101447089	22	0	0x00	37	1	-
1780101447089	23	0	0x00	37	1	-
1780101447089	24	0	0x00	39	1	-
1780101447089	25	0	0x00	35	1	-
1780101447089	26	0	0x00	37	1	-
1780101447089	27	0	0x00	47	1	-
1780101447100	0	0	0x08	56	1	-
1780101447100	1	0	0x08	56	1	-
1780101447100	2	0	0x08	56	1	-
1780101447100	3	0	0x08	58	1	-
1780101447100	4	0	0x08	54	1	-
1780101447100	5	0	0x08	56	1	-
1780101447100	6	0	0x08	66	1	-
1780101447100	7	0	0x04	30	1	-
1780101447100	8	0	0x04	30	1	-
1780101447100	9	0	0x04	30	1	-
